story #,window #,text(s),button(s),chars(s),face(s),img,vfx,sfx,note(s)
1,1,as stanli heads back to the van from a gas station,,stanli,neutral,gas station exterior,,,
,,"she suddenly hears a strange voice, speaking directly to her mind:",,,,,,,
,,"""ssstanli... i have what you sssseek. fame. money",what,,,,,,
,2,"stanli fights the fear paralyzing her, turning to see",,stanli,scared,black,,,
,,a beast.,,,,grink face,"fade in, slow zoom",,
,,"""perhapssss we can sssstrike a deal.... sssssstanli""",,,,,,spooky,https://starmen.net/mother2/soundfx/new/114%20Spooky.wav
,,stanli feels the beast's eyes peering into her very soul,uh oh,,,,,,
2,1,"stanli's fear of mockery, momentarily overpowered by morbid curiousity,",,stanli,scared,marge interior,,,
,,allowed her to finally ask the rest of the band:,,,,,,,
,,"""have any of you seen like some kind of gas station demon?",,,,,,,
,,"""where like it peers into your very soul? and goes 'ssssss'?""",continue,,,,,,
,2,"immediately, the vibe becomes palpably dreadful",,"stanli, cora","scared, neutral",marge interior,,,
,,"cora looks to stanli with sage concern: ""you mean the grink?""",,,,,,,
,,"""the g-g-g-grink?"" stanli stammers",,,,,,,
,,"""they say he offers your greatest desires, judging your very soul... but of course, he's not real""",(he's real),,,,,,
,3,stanli is so terrified she can barely speak,,"stanli, cora","scared, neutral",marge interior,,,
,,"""wh-wh-why is he called 'the grink'?""",,,,,,,
,,"""oh,"" cora starts",,,,,,,
,,"""because he loves to 'grink' piss. also the tweet you know"" (@murrrman5)",funny tweet,,,,,spooky,
3,1,as stanli heads back to the van from a gas station,,stanli,neutral,gas station exterior,,,
,,"she suddenly hears a familiar voice, speaking directly to her mind:",,,,,,,
,,"""you cannot escape judgement, stanli""",,,,,,,
,,"stanli stifles her fear, whipping around to confront the beast",ATTACK,,,,,,
,2,but he's not there.,,stanli,scared,gas station exterior,,,
,,"""fuck.... candyman type shit"" stanli breathes a sigh of relief",,,,,,,
,,she turns to head back to the van,everything's fine,,,,,,
,3,"but then, just like a horror movie, actually he wasn't behind stanli, he was in front actually",,stanli,scared,grink face,shock,,
,,stanli's heart drops at his grinkly visage,,,,,,,
,,"""AAAAAAAAAAAAAAAA",,,,,,,
,,"""AAAAAAAAA",,,,,,,
,,"""AAAAAAAAAAAAA""",AAAAAA,,,,,,
,4,"stanli awakens, safe in the van",,stanli,scared,marge interior,,,
,,everyone else is peacefully asleep,,,,,,,
,,stanli tries to forget what she just saw,fuck,,,,,spooky,
4,1,"as stanli heads back to the van from a gas station,",,stanli,scared,gas station exterior,,,
,,"tense with fear and expectation,",,,,,,,
,,she hears something unexpected: the sound of animals fighting?,what's going on?,,,,,,
,2,"stanli heads behind the gas station with brave, morbid curiosity",,stanli,scared,dog attack,shock,dog attack,
,,HOLY CRAP: a bunch of dogs are fucking up the grink! cool!,,,,,,,
,,stanli hears a familiar voice deep in her mind:,,,,,,,
,,"""AHHHHHH STANLI THESE DOGS ARE FUCKING ME UP AHHHHH",,,,,,,
,,"""HELP HELP HELP IM SORRY I HAUNTED YOU DUDE IT'S JUST LIKE",,,,,,,
,,"""IT'S JUST A THING I DO OKAY?? I'M REALLLLLLY SORRY PLEASE HELP""","watch grink die (A), help grink (B)",,,,,,
,A1,stanli watches as the dogs tear the grink apart like string cheese filled with marinara,,stanli,happy,,,,
,,"""this rocks"" she thinks",,,,,,,
,,"""fuck this guy. this rules."" a serene peace washes over stanli's face",,,,,,,
,,stanli waits for the bloodied and satifsifed dogs to disperse to see what's left behind,hell yeah,,,,,,
,A2,scattered among the grink's bloody viscera stanli catches a yellow glint,,stanli,happy,nasty trash,,,
,,"reaching into the steaming pile of beast, stanli recovers a yellow gem:",ooooooo,,,,,,
,A3,you've received the PISS CRYSTAL,,stanli,happy,piss crystal,,,
,,the PISS CRYSTAL allows your band members to hold their piss EVEN LONGER,,,,,,,
,,"stanli: ""nice! fuck that guy""",i'm glad he's dead,,,,,get,https://starmen.net/mother2/soundfx/new/120%20Purchase%20from%20item%20stand.wav
,B1,"stanli uses her trusty 'reverse-dog-whistle', that she always carries, to repel the dogs",,stanli,neutral,dog attack,,,^ but really i want just three notes going up in victory
,,she rushes to the chomped and bloodied grink,,,,,,,
,,"""are you okay???""",,,,,,,
,,stanli hears a familiar voice deep in her mind:,this again,,,,,,
,B2,"""ssstanli.... you have ssssaved my foul life. though i sssought to judge and punissshhh,",,stanli,happy,grink face,,,
,,"""you showed tender mercy to the grink""",,,,,,,
,,"""please, vissssit me at any gas station dumpsssster,",,,,,,,
,,"""that we may transsssact, as equalsss""",a powerful ally,,,,,,
,B3,you've received TRUST OF GRINK,,stanli,happy,gas station exterior,,,
,,you can SELL PISS JUGS at GAS STATIONS for INCREDIBLE MONEY,,,,,,,
,,"stanli: ""wow. i guess he really DOES 'grink' piss. lol""",ew,,,,,get,
